28.809932	64.858346	75.043369	84.117964	94.602386	99.823203	28.809932	64.858346	75.043369	84.117964	94.602386	99.823203	28.809932	64.858346	75.043369	84.117964	94.602386	99.823203	28.809932	64.858346	75.043369	84.117964	94.602386	99.823203	28.809932	64.858346	75.043369	84.117964	94.602386	99.823203
18.412623	57.017244	69.839987	81.460624	90.683379	99.974278	18.412623	57.017244	69.839987	81.460624	90.683379	99.974278	18.412623	57.017244	69.839987	81.460624	90.683379	99.974278	18.412623	57.017244	69.839987	81.460624	90.683379	99.974278	18.412623	57.017244	69.839987	81.460624	90.683379	99.974278
17.596212	60.430767	73.587374	82.465457	90.483169	99.974276	17.596212	60.430767	73.587374	82.465457	90.483169	99.974276	17.596212	60.430767	73.587374	82.465457	90.483169	99.974276	17.596212	60.430767	73.587374	82.465457	90.483169	99.974276	17.596212	60.430767	73.587374	82.465457	90.483169	99.974276
19.997309	55.551349	69.474665	78.955826	89.788956	99.974277	19.997309	55.551349	69.474665	78.955826	89.788956	99.974277	19.997309	55.551349	69.474665	78.955826	89.788956	99.974277	19.997309	55.551349	69.474665	78.955826	89.788956	99.974277	19.997309	55.551349	69.474665	78.955826	89.788956	99.974277
16.877619	51.003805	64.23322	75.455188	85.928154	99.974278	16.877619	51.003805	64.23322	75.455188	85.928154	99.974278	16.877619	51.003805	64.23322	75.455188	85.928154	99.974278	16.877619	51.003805	64.23322	75.455188	85.928154	99.974278	16.877619	51.003805	64.23322	75.455188	85.928154	99.974278
18.579568	62.986308	75.14582	86.249306	94.229141	99.966631	18.579568	62.986308	75.14582	86.249306	94.229141	99.966631	18.579568	62.986308	75.14582	86.249306	94.229141	99.966631	18.579568	62.986308	75.14582	86.249306	94.229141	99.966631	18.579568	62.986308	75.14582	86.249306	94.229141	99.966631
42.291519	81.00828	89.177904	94.086702	97.582873	99.974271	42.291519	81.00828	89.177904	94.086702	97.582873	99.974271	42.291519	81.00828	89.177904	94.086702	97.582873	99.974271	42.291519	81.00828	89.177904	94.086702	97.582873	99.974271	42.291519	81.00828	89.177904	94.086702	97.582873	99.974271
35.451274	69.475262	82.426144	90.155937	97.908255	99.97427	35.451274	69.475262	82.426144	90.155937	97.908255	99.97427	35.451274	69.475262	82.426144	90.155937	97.908255	99.97427	35.451274	69.475262	82.426144	90.155937	97.908255	99.97427	35.451274	69.475262	82.426144	90.155937	97.908255	99.97427
28.497356	70.789292	82.430225	90.218296	96.808308	99.974277	28.497356	70.789292	82.430225	90.218296	96.808308	99.974277	28.497356	70.789292	82.430225	90.218296	96.808308	99.974277	28.497356	70.789292	82.430225	90.218296	96.808308	99.974277	28.497356	70.789292	82.430225	90.218296	96.808308	99.974277
21.660501	64.786022	76.960357	86.733288	94.962414	99.974277	21.660501	64.786022	76.960357	86.733288	94.962414	99.974277	21.660501	64.786022	76.960357	86.733288	94.962414	99.974277	21.660501	64.786022	76.960357	86.733288	94.962414	99.974277	21.660501	64.786022	76.960357	86.733288	94.962414	99.974277
2.177717	70.008689	82.096766	89.239922	95.957675	99.974276	2.177717	70.008689	82.096766	89.239922	95.957675	99.974276	2.177717	70.008689	82.096766	89.239922	95.957675	99.974276	2.177717	70.008689	82.096766	89.239922	95.957675	99.974276	2.177717	70.008689	82.096766	89.239922	95.957675	99.974276
19.431299	59.00323	70.906301	82.202545	92.483401	99.974279	19.431299	59.00323	70.906301	82.202545	92.483401	99.974279	19.431299	59.00323	70.906301	82.202545	92.483401	99.974279	19.431299	59.00323	70.906301	82.202545	92.483401	99.974279	19.431299	59.00323	70.906301	82.202545	92.483401	99.974279
21.445722	59.358241	73.534048	83.629776	93.510922	99.974276	21.445722	59.358241	73.534048	83.629776	93.510922	99.974276	21.445722	59.358241	73.534048	83.629776	93.510922	99.974276	21.445722	59.358241	73.534048	83.629776	93.510922	99.974276	21.445722	59.358241	73.534048	83.629776	93.510922	99.974276
23.726678	56.692976	70.998108	80.875505	91.568178	99.974278	23.726678	56.692976	70.998108	80.875505	91.568178	99.974278	23.726678	56.692976	70.998108	80.875505	91.568178	99.974278	23.726678	56.692976	70.998108	80.875505	91.568178	99.974278	23.726678	56.692976	70.998108	80.875505	91.568178	99.974278
21.119447	54.76216	67.735752	78.494849	88.830113	99.974278	21.119447	54.76216	67.735752	78.494849	88.830113	99.974278	21.119447	54.76216	67.735752	78.494849	88.830113	99.974278	21.119447	54.76216	67.735752	78.494849	88.830113	99.974278	21.119447	54.76216	67.735752	78.494849	88.830113	99.974278
19.984984	58.858709	72.569044	83.7301	93.514387	99.974277	19.984984	58.858709	72.569044	83.7301	93.514387	99.974277	19.984984	58.858709	72.569044	83.7301	93.514387	99.974277	19.984984	58.858709	72.569044	83.7301	93.514387	99.974277	19.984984	58.858709	72.569044	83.7301	93.514387	99.974277
18.452936	60.531124	75.662786	86.226021	94.650033	99.974278	18.452936	60.531124	75.662786	86.226021	94.650033	99.974278	18.452936	60.531124	75.662786	86.226021	94.650033	99.974278	18.452936	60.531124	75.662786	86.226021	94.650033	99.974278	18.452936	60.531124	75.662786	86.226021	94.650033	99.974278
35.116669	69.564049	79.137254	85.258591	92.142023	99.974277	35.116669	69.564049	79.137254	85.258591	92.142023	99.974277	35.116669	69.564049	79.137254	85.258591	92.142023	99.974277	35.116669	69.564049	79.137254	85.258591	92.142023	99.974277	35.116669	69.564049	79.137254	85.258591	92.142023	99.974277
