5	299	2000000	8	8	8	8	8
8464	44188	92614	277666	621628	1155312	3877722	10045529	8464	44188	92614	277666	621628	1155312	3877722	10045529	8464	44188	92614	277666	621628	1155312	3877722	10045529	8464	44188	92614	277666	621628	1155312	3877722	10045529	8464	44188	92614	277666	621628	1155312	3877722	10045529
14100	71941	164406	458853	1053906	2333471	4357118	10325255	14100	71941	164406	458853	1053906	2333471	4357118	10325255	14100	71941	164406	458853	1053906	2333471	4357118	10325255	14100	71941	164406	458853	1053906	2333471	4357118	10325255	14100	71941	164406	458853	1053906	2333471	4357118	10325255
18769	68630	119945	291975	610009	899832	2035772	6038935	18769	68630	119945	291975	610009	899832	2035772	6038935	18769	68630	119945	291975	610009	899832	2035772	6038935	18769	68630	119945	291975	610009	899832	2035772	6038935	18769	68630	119945	291975	610009	899832	2035772	6038935
25948	102635	183564	464871	991229	1591937	3625951	8612272	25948	102635	183564	464871	991229	1591937	3625951	8612272	25948	102635	183564	464871	991229	1591937	3625951	8612272	25948	102635	183564	464871	991229	1591937	3625951	8612272	25948	102635	183564	464871	991229	1591937	3625951	8612272
16880	69256	122079	333329	713021	1119162	2734046	6813868	16880	69256	122079	333329	713021	1119162	2734046	6813868	16880	69256	122079	333329	713021	1119162	2734046	6813868	16880	69256	122079	333329	713021	1119162	2734046	6813868	16880	69256	122079	333329	713021	1119162	2734046	6813868
17019	65278	116780	288844	603530	947640	2334967	6291748	17019	65278	116780	288844	603530	947640	2334967	6291748	17019	65278	116780	288844	603530	947640	2334967	6291748	17019	65278	116780	288844	603530	947640	2334967	6291748	17019	65278	116780	288844	603530	947640	2334967	6291748
27342	106565	184490	464716	941927	1461984	3298769	7922196	27342	106565	184490	464716	941927	1461984	3298769	7922196	27342	106565	184490	464716	941927	1461984	3298769	7922196	27342	106565	184490	464716	941927	1461984	3298769	7922196	27342	106565	184490	464716	941927	1461984	3298769	7922196
39058	145445	248331	586090	1168865	1806894	3958772	9158210	39058	145445	248331	586090	1168865	1806894	3958772	9158210	39058	145445	248331	586090	1168865	1806894	3958772	9158210	39058	145445	248331	586090	1168865	1806894	3958772	9158210	39058	145445	248331	586090	1168865	1806894	3958772	9158210
50378	190379	327002	758708	1463631	2283973	4698831	10419557	50378	190379	327002	758708	1463631	2283973	4698831	10419557	50378	190379	327002	758708	1463631	2283973	4698831	10419557	50378	190379	327002	758708	1463631	2283973	4698831	10419557	50378	190379	327002	758708	1463631	2283973	4698831	10419557
55591	239287	420799	974762	1846879	2669616	5219344	10787816	55591	239287	420799	974762	1846879	2669616	5219344	10787816	55591	239287	420799	974762	1846879	2669616	5219344	10787816	55591	239287	420799	974762	1846879	2669616	5219344	10787816	55591	239287	420799	974762	1846879	2669616	5219344	10787816
