5 222 2000000 8 8 8 8 8
3128	3254	3974	4496	6408	10938	17156	35018	3128	3254	3974	4496	6408	10938	17156	35018	3128	3254	3974	4496	6408	10938	17156	35018	3128	3254	3974	4496	6408	10938	17156	35018	3128	3254	3974	4496	6408	10938	17156	35018
44788	93058	243212	499214	1006390	1909944	4558232	10235930	45815	93688	239533	492896	996164	1904507	4569725	10311461	43917	92264	246108	507131	1029575	1897358	4577645	10596325	44730	94240	240480	492852	1011856	1895147	4665649	10167258	44673	92842	242931	505043	984785	1874102	4541710	10340154
83412	163088	402968	825296	1841772	3562992	8464440	18957124	83025	165043	407249	829761	1836917	3517556	8517415	18968047	83149	162548	405956	818261	1849052	3551345	8563868	18988141	83001	164623	404468	830190	1826788	3558801	8453982	18800622	82568	161316	399792	825462	1831901	3557465	8443042	18980112
92274	184294	457150	981130	2099710	4145746	9880024	22219182	91940	184431	456100	978044	2093587	4137752	9899643	22053526	91795	185478	456318	976382	2091917	4196609	9945195	22364321	92310	184465	456710	966219	2099843	4171575	9921272	22231857	91169	185913	458020	973886	2113061	4154825	9916405	22304943
56210	120228	347976	733942	1531106	2826254	6815232	14794028	55532	118699	349201	731821	1553822	2808059	6788897	14582194	55981	119635	346002	734460	1542192	2826439	6746206	15025259	56788	121629	356386	731859	1535123	2872232	6746818	14624462	56726	121604	346546	735703	1513594	2819378	6776484	14714879
56494	114716	312058	639638	1303354	2411580	5800546	11957970	57041	117788	309358	648324	1306557	2440541	5819515	11852183	56497	112952	312632	643297	1324493	2455311	5752577	12236205	55534	114452	309977	632714	1306475	2443513	5816282	12053082	56795	115674	312390	640189	1304821	2391648	5829219	11941580
43658	85260	231512	488296	967638	1846876	4410872	10124214	42202	84576	234686	481532	954326	1830970	4415071	10016268	44008	84699	229002	483760	976514	1821151	4472251	9873919	43817	85541	232398	490293	994970	1862913	4409070	10009826	43806	83812	235918	483902	960993	1824422	4594546	10105702
32596	65960	171470	349962	751908	1458456	3556972	8383694	33700	65711	170250	352003	757217	1485355	3618429	8492561	32688	66196	177787	344848	742239	1477782	3475405	8294713	32847	64056	169543	347961	756579	1498611	3520364	8356375	33500	67532	169195	353593	722615	1434251	3591137	8253204
41642	83530	222158	468860	936996	1862256	4325380	9830090	41161	82652	226782	456640	934439	1874028	4286590	9785770	41801	84233	222604	473833	950041	1862545	4362407	9635574	41450	82607	224472	472960	919188	1874815	4305393	9789740	41669	83985	221804	464225	925633	1849766	4347335	9737708
33180	66028	192482	407504	883384	1639262	4136900	9713614	33381	65773	190795	408082	842709	1633980	4157854	9687425	34195	64873	194995	413846	862905	1682558	4095031	9645506	31880	65580	189669	410259	884227	1651143	4255370	9590450	33100	68025	187428	411398	877075	1633243	4125522	9619037
