now	bufferOld	bufferNew
407864	0	2000000
946298	1461566	3461566
1868082	2539782	4539782
4206492	2201372	4201372
5898630	2509234	4509234
10305076	102788	2102788
11620316	787548	2787548
12644270	1763594	3763594
14141826	2266038	4266038
16065980	2341884	4341884
18191088	2216776	4216776
20055413	2352451	4352451
21794770	2613094	4613094
23612352	2795512	4795512
25783874	2623990	4623990
28043450	2364414	4364414
31236726	1171138	3171138
33544403	863461	2863461
36190053	217811	2217811
38750959	0	2000000
41338408	0	2000000
46204656	0	2000000
50322771	0	2000000
53798365	0	2000000
56563562	0	2000000
59024029	0	2000000
61583230	0	2000000
64315315	0	2000000
65904460	410855	2410855
66388185	1927130	3927130
67959376	2355939	4355939
69818209	2497106	4497106
71999673	2315642	4315642
73275014	3040301	5040301
74980205	3335110	5335110
76715014	3600301	5600301
78824052	3491263	5491263
80544666	3770649	5770649
82336789	3978526	5978526
84090951	4224364	6224364
86158754	4156561	6156561
88376154	3939161	5939161
90718618	3596697	5596697
92843625	3471690	5471690
96142238	2173077	4173077
97893501	2421814	4421814
